team,assistor,assisted
LAL,20001671,20000811.0
DEN,20001442,20000832.0
LAL,20000811,20000710.0
LAL,20000811,20001671.0
DEN,20001442,20000832.0
DEN,20001442,20001433.0
DEN,20001433,20001442.0
LAL,20001442,20000811.0
LAL,20000811,20000547.0
DEN,20001442,20001697.0
LAL,20000547,20000708.0
LAL,20001433,20000710.0
DEN,20001853,20001697.0
LAL,20000710,20001823.0
LAL,20001823,20000710.0
LAL,20001823,20001858.0
LAL,20001666,20000710.0
DEN,20001666,20001697.0
LAL,20000710,20001858.0
LAL,20001858,20000811.0
LAL,20001442,20001858.0
DEN,20001442,20001433.0
LAL,20000710,20000708.0
DEN,20001697,20001442.0
DEN,20001442,20000594.0
DEN,20000535,20000594.0
DET,20000575,20000810.0
DET,20000559,20000676.0
CLE,20001427,20000794.0
CLE,20000794,20000572.0
DET,20000810,20000559.0
CLE,20000810,20000572.0
DET,20000559,20000676.0
CLE,20000571,20000562.0
DET,20000810,20000559.0
DET,20000881,20000810.0
DET,20000881,20000559.0
DET,20000676,20000559.0
CLE,20000575,20000572.0
CLE,20000772,20000572.0
DET,20000572,20000901.0
CLE,20000632,20000572.0
DET,20000632,20000901.0
DET,20000881,20001427.0
CLE,20000575,20000772.0
DET,20000881,20000912.0
CLE,20000772,20000688.0
CLE,20000604,20000688.0
DET,20000676,20001427.0
CLE,20000604,20000688.0
CLE,20000772,20000604.0
DET,20000772,20000810.0
CLE,20000571,20000632.0
CLE,20000810,20000571.0
CLE,20000572,20000604.0
DET,20000810,20001427.0
CLE,20000571,20000604.0
DET,20000559,20000854.0
CLE,20000572,20000562.0
CLE,20000604,20000794.0
DET,20000676,20000881.0
CLE,20000794,20000575.0
DET,20000881,20000676.0
CLE,20000572,20000562.0
CLE,20000571,20000794.0
CLE,20000810,20000571.0
DET,20000562,20000559.0
DET,20000881,20001427.0
CLE,20000572,20000562.0
CLE,20000571,20000572.0
CLE,20000571,20000572.0
DET,20000901,20000854.0
CLE,20000571,20000794.0
CLE,20000571,20000562.0
DET,20000872,20000912.0
CLE,20000688,20001421.0
CLE,20000772,20000632.0
DET,20001681,20001840.0
CLE,20000901,20000772.0
CLE,20000772,20000688.0
CLE,20000688,20000632.0
DET,20000901,20001840.0
DET,20000912,20001681.0
DET,20000896,20000872.0
CLE,20001421,20000632.0
DET,20000912,20000872.0
DET,20000896,20001681.0
IND,20000678,20000591.0
ORL,20000679,20000678.0
ORL,20000689,20000678.0
ORL,20000863,20000680.0
IND,20000689,20000591.0
ORL,20000587,20000681.0
IND,20000680,20000587.0
ORL,20000680,20000453.0
IND,20000863,20000587.0
IND,20000681,20000689.0
ORL,20000681,20000678.0
